key_id,fields,repeat,seed,frequency_preserved_exactly,cardinality_preserved_exactly,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max
K5,Bytes | Category of app | Outbound Interface | Source Port,4,42,True,True,1048576,834808,0.7961349487304688,213768,748262,0.8963282575155006,748262,0.7135982513427734,25,183,44,4.1961669921875e-05,0.9999580383300781,1.0,2.0,2.0,4835
K6,Bytes | Outbound Interface | Source Port | Technology of app,4,42,True,True,1048576,834405,0.795750617980957,214171,747652,0.896030105284604,747652,0.7130165100097656,17,182,40,3.814697265625e-05,0.9999618530273438,1.0,2.0,2.0,4835
K7,Bytes | Outbound Interface | Risk of app | Source Port,4,42,True,True,1048576,835194,0.7965030670166016,213382,748844,0.8966108473001483,748844,0.7141532897949219,16,166,33,3.147125244140625e-05,0.9999685287475586,1.0,2.0,2.0,4835
K1,Application | Bytes | Outbound Interface | Source Port,5,42,True,True,1048576,835806,0.7970867156982422,212770,749867,0.8971782925702855,749867,0.7151288986206055,15,129,29,2.765655517578125e-05,0.9999723434448242,1.0,2.0,2.0,4884
K2,Application | Bytes | Destination Country | Source Port,5,42,True,True,1048576,840770,0.8018207550048828,207806,757249,0.9006612985715475,757249,0.7221689224243164,7,88,8,7.62939453125e-06,0.9999923706054688,1.0,1.0,2.0,4866
K3,Bytes | Destination Port | Outbound Interface | Source Port,5,42,True,True,1048576,937365,0.8939409255981445,111211,887789,0.9471113173630336,887789,0.8466615676879883,17,120,27,2.574920654296875e-05,0.999974250793457,1.0,1.0,2.0,2273
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,5,42,True,True,1048576,835390,0.7966899871826172,213186,749242,0.8968769077915704,749242,0.7145328521728516,17,133,31,2.956390380859375e-05,0.9999704360961914,1.0,2.0,2.0,4884
K5,Bytes | Category of app | Outbound Interface | Source Port,5,42,True,True,1048576,835251,0.7965574264526367,213325,749015,0.8967543888004923,749015,0.7143163681030273,28,189,44,4.1961669921875e-05,0.9999580383300781,1.0,2.0,2.0,4884
K6,Bytes | Outbound Interface | Source Port | Technology of app,5,42,True,True,1048576,834870,0.7961940765380859,213706,748455,0.8964928671529699,748455,0.7137823104858398,23,185,40,3.814697265625e-05,0.9999618530273438,1.0,2.0,2.0,4884
K7,Bytes | Outbound Interface | Risk of app | Source Port,5,42,True,True,1048576,835658,0.7969455718994141,212918,749645,0.8970715292619708,749645,0.7149171829223633,19,153,33,3.147125244140625e-05,0.9999685287475586,1.0,2.0,2.0,4884
