subset_size,fields,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max,g3_error_rate
3,Application | Inbound Interface | Category,1048576,411,0.00039196014404296875,1048165,59,0.1435523114355231,59,5.626678466796875e-05,23,252076,3523,0.0033597946166992188,0.9966402053833008,20.0,1350.0,4126.5,199019,0.0033597946166992188
3,Application | Source Zone | Category,1048576,411,0.00039196014404296875,1048165,59,0.1435523114355231,59,5.626678466796875e-05,23,252076,3523,0.0033597946166992188,0.9966402053833008,20.0,1350.0,4126.5,199019,0.0033597946166992188
3,Application | Destination Port | Destination Country,1048576,18603,0.01774120330810547,1029973,9704,0.5216362952212009,9704,0.00925445556640625,46,343261,3766,0.0035915374755859375,0.9964084625244141,1.0,16.0,34.0,141618,0.0035915374755859375
3,Outbound Interface | Source Port | Subcategory of app,1048576,296515,0.2827787399291992,752061,125686,0.42387737551220006,125686,0.11986351013183594,3432,11846,3789,0.0036134719848632812,0.9963865280151367,2.0,7.0,9.0,31872,0.0036134719848632812
3,Application | Destination Port | Source Country,1048576,29709,0.02833271026611328,1018867,15381,0.5177219024538019,15381,0.014668464660644531,22,310860,4269,0.004071235656738281,0.9959287643432617,1.0,9.0,15.0,138495,0.004071235656738281
3,Application | Inbound Interface | Destination Port,1048576,18107,0.01726818084716797,1030469,9584,0.5292980615231678,9584,0.0091400146484375,19,299150,4278,0.0040798187255859375,0.9959201812744141,1.0,15.0,30.0,142376,0.0040798187255859375
3,Application | Source Zone | Destination Port,1048576,18107,0.01726818084716797,1030469,9584,0.5292980615231678,9584,0.0091400146484375,19,299150,4278,0.0040798187255859375,0.9959201812744141,1.0,15.0,30.0,142376,0.0040798187255859375
3,Outbound Interface | Destination Port | Technology of app,1048576,17770,0.016946792602539062,1030806,9480,0.5334833989870569,9480,0.00904083251953125,20,284395,4309,0.004109382629394531,0.9958906173706055,1.0,15.0,27.0,168169,0.004109382629394531
3,Application | Source Port | Source Country,1048576,397444,0.3790321350097656,651132,230411,0.5797319873994827,230411,0.21973705291748047,2619,24704,4670,0.0044536590576171875,0.9955463409423828,1.0,5.0,7.0,33001,0.0044536590576171875
3,Application | Inbound Interface | Source Port,1048576,334000,0.3185272216796875,714576,160100,0.47934131736526947,160100,0.15268325805664062,2736,28587,4790,0.0045680999755859375,0.9954319000244141,2.0,6.0,8.0,33001,0.0045680999755859375
