context,model,probability_state,threshold,test_rows,retained_rows,queue_rows,retained_coverage,queue_rate,retained_accuracy,retained_macro_f1,selective_risk,queue_accuracy,all_errors,retained_errors,captured_errors,error_capture_rate,queue_error_rate
application_category,catboost_native,raw,0.99,197261,186367,10894,0.9447736754857777,0.055226324514222276,0.999747809429781,0.9303269335372297,0.0002521905702189686,0.9901780796768863,154,47,107,0.6948051948051948,0.009821920323113641
application_category,catboost_native,raw,0.999,197261,166122,31139,0.842143150445349,0.15785684955465096,1.0,1.0,0.0,0.9950544333472494,154,0,154,1.0,0.00494556665275057
application_category,catboost_native,raw,0.9999,197261,13535,183726,0.06861467801542119,0.9313853219845788,1.0,1.0,0.0,0.9991617952821049,154,0,154,1.0,0.0008382047178951264
application_category,catboost_native,temperature_scaled,0.5,197261,197261,0,1.0,0.0,0.9992193084289342,0.9923443385912797,0.0007806915710657503,,154,154,0,0.0,
application_category,catboost_native,temperature_scaled,0.7,197261,197238,23,0.9998834032069187,0.00011659679308124768,0.9993155477139294,0.9932685280474614,0.0006844522860706137,0.17391304347826086,154,135,19,0.12337662337662338,0.8260869565217391
application_category,catboost_native,temperature_scaled,0.8,197261,197207,54,0.9997262510075484,0.000273748992451625,0.9993560066326246,0.9936600960090617,0.0006439933673754172,0.5,154,127,27,0.17532467532467533,0.5
application_category,catboost_native,temperature_scaled,0.9,197261,197157,104,0.9994727797182413,0.0005272202817586852,0.9994978621098921,0.9950377817991916,0.0005021378901078899,0.47115384615384615,154,99,55,0.35714285714285715,0.5288461538461539
application_category,catboost_native,temperature_scaled,0.95,197261,197087,174,0.9991179199132114,0.0008820800867885694,0.9997361571285778,0.9973756770944391,0.0002638428714222263,0.41379310344827586,154,52,102,0.6623376623376623,0.5862068965517241
application_category,catboost_native,temperature_scaled,0.99,197261,192914,4347,0.9779632061076442,0.022036793892355813,0.9997511844656168,0.9870326812327117,0.0002488155343831622,0.9756153669197147,154,48,106,0.6883116883116883,0.024384633080285253
application_category,catboost_native,temperature_scaled,0.999,197261,186877,10384,0.9473590826367098,0.05264091736329026,0.9997484976749412,0.9303270560308358,0.00025150232505877224,0.9896956856702619,154,47,107,0.6948051948051948,0.010304314329738058
application_category,catboost_native,temperature_scaled,0.9999,197261,180983,16278,0.9174798870531935,0.08252011294680651,0.9999723730958157,0.990887774226075,2.7626904184341328e-05,0.9908465413441455,154,5,149,0.9675324675324676,0.009153458655854528
