experiment,bin,lower,upper,rows,mean_confidence,empirical_accuracy
context_destination_service_heldout,6,0.5,0.6,253,0.5572603313979733,0.9288537549407114
context_destination_service_heldout,7,0.6,0.7,146,0.6529577393787785,0.773972602739726
context_destination_service_heldout,8,0.7,0.8,224,0.7632447109765612,0.6964285714285714
context_destination_service_heldout,9,0.8,0.9,191,0.8668731738953445,0.9528795811518325
context_destination_service_heldout,10,0.9,1.0,544993,0.9994803325845608,0.9937889110502337
context_rule_heldout_diagnostic,1,0.0,0.1,0,,
context_rule_heldout_diagnostic,2,0.1,0.2,0,,
context_rule_heldout_diagnostic,3,0.2,0.3,0,,
context_rule_heldout_diagnostic,4,0.3,0.4,0,,
context_rule_heldout_diagnostic,5,0.4,0.5,158,0.4338980287305268,1.0
context_rule_heldout_diagnostic,6,0.5,0.6,164,0.5428569233799199,0.3475609756097561
context_rule_heldout_diagnostic,7,0.6,0.7,94,0.6306957590650859,0.7659574468085106
context_rule_heldout_diagnostic,8,0.7,0.8,273,0.7595062625759235,0.9560439560439561
context_rule_heldout_diagnostic,9,0.8,0.9,1599,0.8209201293401805,0.9949968730456535
context_rule_heldout_diagnostic,10,0.9,1.0,667335,0.9993990029971419,0.9950594528984693
